PROPNUM,IP30,IP180,MUWI,SUB_AREA,FIELD,PAD_NAME,INITIAL_RSV_PRESSURE_PSI,SPACING_DIST_FT,FRAC_DESIGN_SIMPLIFIED,PERF_PERF,CLUSTER_SPACING_FT,FRACED_STAGES,AVG_RATE_BPM,AVG_PRESS_PSI,FRAC_VENDOR,TOTAL_PROPPANT_LB,MESH_100_LBS,LBS_40_70,LBS_30_50,TOTAL_FLUID_BBL,TOTAL_ACID_BBL,WELL_NUMBER
Q18927EB5C,16347,67575,9264225500000000NEK0066H1,Karnes North - CombsLatka Area,Karnes,"Janysek 4H, 5H, 8H & 9H",9038,375,Slickwater,5680,64.5,18,80.73,9655.88,C&J Frac,7365000,659200,4308380,2397420,277641,1025.12,8
Q18927HCJO,30787,109783,9264225500000000NEK0057H1,Karnes North - CombsLatka Area,Karnes,"Joseph Unit 1H,2H,3H,4H,5H,6H",7700,350,Super Slickwater,5258,72,15,73.01,9214.07,Frac Tech II,7983050,591630,3986780,3404640,196528,833.81,4
Q18927IC5C,12266,54513,9264225500000000NEK0004H1,Karnes North - JOG Area,Karnes,Single Well,6994,700,Short Slickwater,4672,70,17,81.8,9252,FracTech - dedicated,5969260,510000,3145000,0,158314,825,2
Q18927JC5C,22926,93131,9264225500000000NEK0067H1,Karnes North - CombsLatka Area,Karnes,"Janysek 4H, 5H, 8H & 9H",8910,375,Slickwater,5548,66,17,81.4,9653.24,C&J Frac,7044050,629460,4058230,2356360,244699,855.83,9
Q18927MC34,15195,69186,9264225500000000NEK0058H1,Karnes North - CombsLatka Area,Karnes,"Joseph Unit 1H,2H,3H,4H,5H,6H",7780,350,Slickwater,5182,70,15,76.37,9504.87,Frac Tech II,6518420,573300,3107560,2837560,208274,786.17,5
Q18927NC5C,10859,63869,9264225500000000NEK0005H1,Karnes North - JOG Area,Karnes,Single Well,6956,425,Slickwater,4692,70,17,79.1,9255,FracTech - dedicated,5292940,454580,2785220,0,164825,755,3
Q18927OC5C,17645,104730,9264225500000000SWK0018H1,Karnes South - KASManka Area,Karnes,Single Well,8318,725,Slickwater,5256,74,18,77.3,9555,,6389860,555840,3417420,2416600,231829,960,1
Q18927RC34,16725,60623,9264225500000000NEK0059H1,Karnes North - CombsLatka Area,Karnes,"Joseph Unit 1H,2H,3H,4H,5H,6H",7748,675,Slickwater,5204,71,15,75.44,9600.93,Frac Tech II,7830960,581900,4010040,3239020,213409,731.79,6
Q18927SC5C,11001,64184,9264225500000000NEK0010H1,Karnes North - JOG Area,Karnes,Single Well,7582,975,Slickwater,4893,73,17,80.5,9536,Frac Tech I,6072900,514820,3182340,0,215478,844,4
Q18927TC5C,16138,67833,9264225500000000SWK0017H1,Karnes South - KASManka Area,Karnes,"Jendrzey 2H,4H",8178,575,Slickwater,3419,67,13,87,9649,,4665360,405580,1800040,2456740,165297,599,2
Q18927XC5C,12591,56193,9264225500000000NEK0003H1,Karnes North - JOG Area,Karnes,Single Well,7420,975,Slickwater,4358,65.5,16,76.1,8933,Superior - Bossier,5803002.06,480000,2960000,0,214517.7,1115.7,1
Q189280D34,10917,52734,9264225500000000NEK0049H1,Karnes North - CombsLatka Area,Karnes,"KAT Unit 1H,2H,3H",8170,500,Slickwater,3842,60,13,73.4,8577,Frac Tech II,5751680,506000,3477560,1768120,199599,782,2
Q189282C34,18496,74668,9264225500000000NEK0025H1,Karnes North - CombsLatka Area,Karnes,Single Well,8478,600,Short Slickwater,3907,72,14,69.9,9455,Frac Tech I,4807140,407880,2552960,1876300,129430,681,1
Q189283C34,16033,66980,9264225500000000NEK0050H1,Karnes North - CombsLatka Area,Karnes,"KAT Unit 1H,2H,3H",8374,600,Slickwater,5210,62,17,73.6,9356,Frac Tech II,7457100,649500,4566960,2240640,263502,1071,3
Q189287CXC,17996,57677,9264225500000000NEK0026H1,Karnes North - CombsLatka Area,Karnes,Single Well,8474,525,Slickwater,3962,71,14,71.7,9483,Frac Tech I,4520210,388060,2343790,1788360,160315,635,2
Q189288C34,18326,49318,9264225500000000NEK0030H1,Karnes North - CombsLatka Area,Karnes,"KC Unit 1H, 2H, 5H & 6H",8454,325,Short Slickwater,4763,69,14,78.02,9103.71,Calfrac,6036300,517380,3523800,1995120,150839.8,718.1,1
Q189289C34,9411,38464,9264225500000000SWK0010H1,Karnes South - KASManka Area,Karnes,Single Well,6856,675,Slickwater,2428,60,10,75.5,8934,FracTech Dedicated,3441480,270000,290000,840000,109422.63,523.67,1
Q18928DC34,16342,77877,9264225500000000NEK0060H2,Karnes North - CombsLatka Area,Karnes,"KC Unit 1H, 2H, 5H & 6H",8446,350,Short Slickwater,4694,68,14,76.63,8902.93,Calfrac,5777060,528060,3274240,1974760,146168,712.14,2
Q18928EC34,12923,72872,9264225500000000SWK0009H1,Karnes South - KASManka Area,Karnes,Single Well,6840,775,Slickwater,4287,68,16,76.1,9013,FracTech Dedicated,5551865,480000,3200000,1440000,197760,874.52,2
Q18928HDXC,14537,21673,9264225500000000NEK0006H1,Karnes North - CombsLatka Area,Karnes,Single Well,7582,675,Slickwater,4860,71,14,80.4,9203,C&J Frac,6174360,514240,3637780,2022340,222796,986,1
Q18928ID34,21404,95320,9264225500000000NEK0032H1,Karnes North - CombsLatka Area,Karnes,"KC Unit 3H,4H",9024,400,Slickwater,4674,73,13,76.1,9239,Halliburton,5548920,483210,3163490,1902220,177043,945,3
Q18928JD34,16901,91129,9264225500000000SWK0005H1,Karnes South - KASManka Area,Karnes,Single Well,8058,800,Slickwater,4057,70.5,15,81.2,9620,FracTech - dedicated,5163150,450000,2850000,1950000,184167,720,1
Q18928MDXC,14699,78123,9264225500000000NEK0008H1,Karnes North - CombsLatka Area,Karnes,Single Well,7620,550,Slickwater,4759,71,17,80.8,9219,C&J Frac,6183820,533620,225639,2388500,225639,929,2
Q18928ND34,17292,71432,9264225500000000NEK0031H1,Karnes North - CombsLatka Area,Karnes,"KC Unit 3H,4H",8990,675,Slickwater,4674,73,13,79.3,9170,Halliburton,5572360,483780,3177580,1911000,187159,777,4
Q18928OD34,14516,66867,9264225500000000SWK0019H1,Karnes South - KASManka Area,Karnes,Single Well,8060,950,Slickwater,4887,72,17,73.1,9819,FracTech - dedicated,5878500,510000,3230000,0,209101.7,896.9,3
Q18928RDXC,22899,73622,9264225500000000NEK0007H1,Karnes North - CombsLatka Area,Karnes,Single Well,7698,575,Slickwater,4538,72,16,78.7,9542,Frac Tech I,5644130,480000,2976000,2197000,207207,857,3
Q18928SD34,6832,22547,9264225500000000NEK0061H1,Karnes North - CombsLatka Area,Karnes,"KC Unit 1H, 2H, 5H & 6H",8512,300,Short Slickwater,4578,71.5,13,77.23,9420.28,Calfrac,5557950,416200,3291710,1850040,147895,333.05,5
Q18928TD34,11773,39364,9264225500000000NEK0051H1,Karnes North - CombsLatka Area,Karnes,"KAT Unit 1H,2H,3H",7450,800,Slickwater,2991,61,10,74.6,9033,Frac Tech II,4471960,388500,2711720,1371740,147460,605,1
Q18928XD34,37204,118985,9264225500000000NEK0062H1,Karnes North - CombsLatka Area,Karnes,"KC Unit 1H, 2H, 5H & 6H",8528,525,Super Short Slickwater,4797,69.5,14,77.34,9405.86,Calfrac,7392558,523677,3557329,3311552,166620,502.02,6
Q189294CXC,23000,79459,9264225500000000NEK0009H2,Karnes North - CombsLatka Area,Karnes,Single Well,7622,625,Hybrid,4624,73,16,84,9273,Frac Tech I,5691540,494940,2946200,2250400,137333,796,4
Q18929IDXC,3521,14153,9264225500000000SWK0016H1,Karnes South - KASManka Area,Karnes,Single Well,8174,875,Short Slickwater,2953.5,66,12,76.2,9271,FracTech - dedicated,4280500,360000,2232000,1680000,134713,636,2
Q18929SDXC,15221,68349,9264225500000000SWK0041H1,Karnes South - KASManka Area,Karnes,"Manka 1H,2H,3H,4H,5H,6H",7700,500,Short Slickwater,4832,70,14,78.8,9273,Frac Tech II,6217920,538780,3785400,1893740,159285,860,1
Q1892A0CXC,16235,57403,9264225500000000SWK0040H1,Karnes South - KASManka Area,Karnes,"Manka 1H,2H,3H,4H,5H,6H",6594,500,Short Slickwater,5330,72,15,75.5,9481,Frac Tech II,6505930,568140,4050970,1886820,175606,935,2
Q1892A3CXC,21618,118904,9264225500000000SWK0036H1,Karnes South - Linhart Area,Karnes,Single Well,9664,975,Slickwater,5532,70,20,74.6,9527,Frac Tech,6958482,604600,3674880,2679002,242401,1282,1
Q1892A5CXC,12412,72813,9264225500000000SWK0047H1,Karnes South - KASManka Area,Karnes,"Manka 1H,2H,3H,4H,5H,6H",7734,200,Short Slickwater,4901,71,14,68.8,9095,Frac Tech II,6200860,537840,3780600,1882420,164089,937,3
Q1892AACXC,15654,57006,9264225500000000SWK0048H1,Karnes South - KASManka Area,Karnes,"Manka 1H,2H,3H,4H,5H,6H",7732,500,Short Slickwater,5108,69,15,69.4,9184,Frac Tech II,6610040,567320,4050240,1992480,171275,1068,4
Q1892AFCXC,15358,85531,9264225500000000SWK0051H1,Karnes South - KASManka Area,Karnes,"Manka 1H,2H,3H,4H,5H,6H",6334,500,Short Slickwater,5330,72,15,78.1,9097,Frac Tech II,6628440,567300,4042420,2018720,158345,886,5
Q1892AIDXC,19107,91828,9264225500000000SWK0061H1,Karnes South - Linhart Area,Karnes,"PDR Unit 2H,3H,4H",9682,300,Short Slickwater,4694,68,14,71.9,9913,Halliburton,6423608,986140,3444828,1992640,190221,855,2
Q1892AKDXC,10509,55767,9264225500000000SWK0050H1,Karnes South - KASManka Area,Karnes,"Manka 1H,2H,3H,4H,5H,6H",6522,200,Short Slickwater,5182,70,15,76.6,9090,Frac Tech II,6616990,576600,4022330,2018060,176415,952,6
Q1892ANDXC,20104,94032,9264225500000000SWK0062H1,Karnes South - Linhart Area,Karnes,"PDR Unit 2H,3H,4H",9718,300,Short Slickwater,4482,70,13,71.7,10074,Halliburton,5559660,493500,3218240,1847920,180071,778,3
Q1892B0CXC,18766,84292,9264225500000000SWK0063H1,Karnes South - Linhart Area,Karnes,"PDR Unit 2H,3H,4H",9724,400,Short Slickwater,4286,68,16,73,9938,Halliburton,5602478,504740,3117008,1980730,185305,802,4
Q1892B0DXC,8136,34293,9264225500000000SCH0001H2,Karnes North - Schendel Area,Karnes,Single Well,8272,900,Slickwater,4449.5,67,14,88.4,9655,FracTech - 1/month,5534686,420000,4200000,650000,257529,780.71,1
Q1892B3CXC,21499,86796,9264225500000000SCH0002H1,Karnes North - Schendel Area,Karnes,Single Well,8466,725,Slickwater,4494,67.5,16,77.4,9566,FracTech Dedicated,5634000,480000,2960000,1560000,232554.02,839.21,1
Q1892B5CXC,20975,96525,9264225500000000SWK0027H1,Karnes South - Linhart Area,Karnes,Single Well,9806,450,Slickwater,4901,69,18,75.9,9883,Frac Tech II,6483520,565980,3382600,2534940,210012,1165,1
Q1892B8CXC,16371,70709,9264225500000000SCH0003H1,Karnes North - Schendel Area,Karnes,Single Well,8686,925,Slickwater,4220,67.5,14,0,9352,"Superior - MS (attempt): Stg 1- 2, Frac Tech - 1/month: Stg 2 - 16",5216883,420000,4600900,0,197410,765.86,1
Q1892BIDXC,13230,56019,9264225500000000SCH0005H1,Karnes North - Schendel Area,Karnes,Single Well,8376,750,Slickwater,5173,77,17,76.9,9809.3,FracTech - dedicated,5842190,510000,3145000,0,160625,809,1
Q1892BNDXC,15085,72437,9264225500000000SCH0006H1,Karnes North - Schendel Area,Karnes,Single Well,8270,600,Slickwater,5177,76,14,75.8,9720,FracTech - dedicated,6187800,518000,3234000,0,164205,924,1
Q1892BTDXC,23012,120531,9264225500000000SWK0024H2,Karnes South - Linhart Area,Karnes,Single Well,9748,375,Slickwater,6827,75,23,66.2,8849,Frac Tech I,7283377,1015880,3648966,2376620,234067,1364,1
Q1892C0CXC,19344,82421,9264225500000000SCH0007H1,Karnes North - Schendel Area,Karnes,Single Well,8364,625,Slickwater,4893,73,17,75.8,9499,Frac Tech I,5917850,513100,206254,2358810,206254,835,1
Q1892C1DXC,13907,69689,9264225500000000SWK0057H1,Karnes South - Drees Area,Karnes,"Sisit West 2H, Sisit East 2H, 3H, 4H",8650,550,Slickwater,2972,55,11,75.23,9677.18,Frac Tech I,4856130,424280,2970060,1461790,141948,670.83,2
Q1892C4CXC,10872,91850,9264225500000000SWK0058H1,Karnes South - Drees Area,Karnes,Single Well,8462,650,Slickwater,6242,60,21,72.71,9609.05,Frac Tech I,9294850,822340,5713780,2758730,263142,1273.17,3
Q1892C5CXC,10976,76713,9264225500000000SCH0004H1,Karnes North - Schendel Area,Karnes,Single Well,8402,725,Slickwater,5256,74,18,74.4,9420,Frac Tech I,5954140,510460,3704820,2370380,205787,888,1
Q1892C9CXC,18158,67566,9264225500000000NEK0027H1,Karnes North - CombsLatka Area,Karnes,"Smith Unit 1H, 2H, 3H, 4H",8348,375,Slickwater,4162,65,13,74.01,9386.23,Frac Tech II,5758880,493640,3467620,1797620,191363,781.29,1
Q1892CACXC,24105,99721,9264225500000000SWK0039H1,Karnes South - Drees Area,Karnes,Sisti East Unit 1H & Sisti West 1H,8328,400,Slickwater,3383,69,10,79,9514,Halliburton,4152000,374920,2468520,1308560,148208,608,1
Q1892CECXC,19996,65934,9264225500000000NEK0028H1,Karnes North - CombsLatka Area,Karnes,"Smith Unit 1H, 2H, 3H, 4H",8456,475,Slickwater,4290,67,13,71.12,9504.92,Frac Tech II,5711220,494280,3400200,1816740,201963,841.52,2
Q1892CFCXC,12240,69193,9264225500000000SWK0054H1,Karnes South - Drees Area,Karnes,"Sisit West 2H, Sisit East 2H, 3H, 4H",8684,550,Super Slickwater,3192,66,17,79.59,9632.71,Halliburton Frac Spot,9182650,797690,3988020,4396940,249614,821.43,2
Q1892CIDXC,10956,59610,9264225500000000NEK0044H1,Karnes North - CombsLatka Area,Karnes,"Turner 1H, 2H",8924,775,Slickwater,4886,66,15,74.2,9637,Frac Tech II,6612880,573740,4042640,1996500,225640,883,1
Q1892CJDXC,19294,74909,9264225500000000NEK0052H1,Karnes North - CombsLatka Area,Karnes,"Smith Unit 1H, 2H, 3H, 4H",8430,375,Slickwater,4226,66,13,72.68,9469,Frac Tech II,5752240,481760,3513280,1757200,187782,778.14,3
Q1892CKDXC,14852,72730,9264225500000000SWK0055H1,Karnes South - Drees Area,Karnes,"Sisit West 2H, Sisit East 2H, 3H, 4H",8088,425,Slickwater,5072,65,16,73.7,9529.63,Frac Tech I,6807960,623480,4248020,1936460,224868,973.24,3
Q1892CNDXC,11173,54591,9264225500000000NEK0043H1,Karnes North - CombsLatka Area,Karnes,"Turner 1H,2H",8926,500,Slickwater,4886,66,15,43,9433,Frac Tech II,6657260,582380,4032880,2042000,213083,1006,2
Q1892CODXC,18593,68824,9264225500000000NEK0053H1,Karnes North - CombsLatka Area,Karnes,"Smith Unit 1H, 2H, 3H, 4H",8486,450,Slickwater,4290,67,13,73.78,9621.23,Frac Tech II,5768980,496320,3515120,1757540,192593,716.41,4
Q1892CPDXC,19227,74130,9264225500000000SWK0056H1,Karnes South - Drees Area,Karnes,"Sisit West 2H, Sisit East 2H, 3H, 4H",8726,500,Slickwater,3394,64,11,77.24,9607.91,Frac Tech I,4886660,435100,2972400,1479160,145099,697.48,4
Q1892CUDXC,24516,87874,9264225500000000SWK0038H1,Karnes South - Drees Area,Karnes,Sisit East 1H & Sisti West 1H,8306,550,Slickwater,3432,70,10,79.3,9394,Halliburton,4285450,357980,2457880,1469590,144594,639,1
Q1892D0CXC,18689,74609,9264225500000000NEK0046H1,Karnes North - CombsLatka Area,Karnes,"Atzger Unit 1H, 2H, 3H, 4H, Turner 3H & 4H",8948,400,Slickwater,4812,65,15,75.89,9452.36,Halliburton/Frac Tech II,5693957.6,530400,3243897.6,1919660,181544,842.26,3
Q1892D4CXC,18044,71599,9264225500000000SWK0003H1,Karnes South - Drees Area,Karnes,Single Well,8356,1000,Slickwater,4615,71.5,15,0,9448,FracTech - 1/month,5402721,450000,232500,1620000,189172.58,783.88,1
Q1892D5CXC,18623,91333,9264225500000000NEK0047H1,Karnes North - CombsLatka Area,Karnes,"Atzger Unit 1H, 2H, 3H, 4H, Turner 3H & 4H",8934,675,Slickwater,5462,65,17,72.59,9931.18,Halliburton,6812800,588800,3981220,2242780,217455,1108.24,4
Q1892DACXC,20185,58796,9264225500000000WHF0001H1,Karnes North - Schendel Area,Karnes,Single Well,9232,650,Short Slickwater,4349,69,17,78.7,9386,Frac Tech I,5694140,514120,2978120,2201900,147215,798,1
Q1892DDCXC,28328,91003,9264225500000000SWK0086H1,Karnes South - KASManka Area,Karnes,"Armand Unit 1H, 2H & 3H",6162,675,Super Slickwater,4625,67,14,77.57,8751.86,Frac Tech I,7083080,532560,3315580,3234940,193042,818,1
Q1892DFCXC,14188,70719,9264225500000000WHF0004H1,Karnes North - Schendel Area,Karnes,Single Well,9324,550,Slickwater,3955,67,15,73,9445,Frac Tech I,5302160,458060,2765620,2078480,188406,757,2
Q1892DIDXC,25777,92043,9264225500000000SWK0087H1,Karnes South - KASManka Area,Karnes,"Armand Unit 1H, 2H & 3H",6106,400,Super Slickwater,4524,66.5,14,78.84,8616.36,Frac Tech I,7451150,532580,3463550,3455020,193739,738.36,2
Q1892DKDXC,15296,96476,9264225500000000WHF0005H1,Karnes North - Schendel Area,Karnes,Single Well,9440,525,Slickwater,4538,72,16,75.2,9602,Frac Tech I,5598600,486440,2946320,2165840,187940,798,3
Q1892DNDXC,24548,79123,9264225500000000SWK0088H1,Karnes South - KASManka Area,Karnes,"Armand Unit 1H, 2H & 3H",6122,450,Super Slickwater,4626,66,14,78.63,8717.29,Frac Tech I,7427910,498240,3493560,3436110,187362,736.52,3
Q1892DPDXC,13904,92886,9264225500000000WHF0006H1,Karnes North - Schendel Area,Karnes,Single Well,9476,675,Short Slickwater,4538,72,16,74,9547,Frac Tech I,5625670,473860,2952280,2199530,153680,817,4
Q1892DUDXC,18039,71390,9264225500000000WHF0002H1,Karnes North - Schendel Area,Karnes,Single Well,9178,725,Short Slickwater,4485,70,13,81.7,9647,Frac Tech I,5626510,464980,3098190,2063340,151928,773,1
Q1892E4CES,27358,110029,9264225500000000SWK0091H1,Karnes South - Drees Area,Karnes,"Cannon Unit 2H, 3H, 4H & 5H",8590,475,Super Slickwater,5764,65.5,18,73.62,9930.61,Frac Tech II,9656380,690760,4504440,4461180,254631,909.83,2
Q1892E9CES,20457,83714,9264225500000000SWK0092H1,Karnes South - Drees Area,Karnes,"Cannon Unit 2H, 3H, 4H & 5H",8702,375,Super Slickwater,5803,66,18,74.13,9891.11,Frac Tech II,9610250,694960,4491510,4423780,255579,911.93,3
Q1892EECES,32842,130255,9264225500000000SWK0093H1,Karnes South - Drees Area,Karnes,"Cannon Unit 2H, 3H, 4H & 5H",8652,350,Super Slickwater,5740,64.5,18,75.21,9566.61,Frac Tech II,9710760,896840,4540640,4273280,250946,954.81,4
Q1892EJDES,15963,84652,9264225500000000SWK0094H1,Karnes South - Drees Area,Karnes,"Cannon Unit 2H, 3H, 4H & 5H",8768,400,Super Slickwater,5963,67,18,76.35,9624.83,Frac Tech II,9739520,897980,4550680,4290860,263682,905.33,5
Q1892END80,28831,117140,9264225500000000SWK0142H1,Karnes South - Linhart Area,Karnes,"Dove East Unit 5H, 6H & 7H",9424,350,Monster,4421,25,22,78,10254,Halliburton Frac Spot,12368760,9326080,3042680,0,277425,1135,5
Q1892FKD80,11647,57126,9264225500000000SWK0095H1,Karnes South - Drees Area,Karnes,"Drees A-179 7H, 8H & 9H",8786,425,Super Slickwater,3896,66,12,76.93,9750.92,Frac Tech I,6420100,456360,2991000,2972740,164193,624.24,7
Q1892FOD80,29711,133712,9264225500000000NEK0102H1,Karnes North - JOG Area,Karnes,"Jog Unit 5H, 6H, 7H & 8H",7196,1000,Monster,4890,25,24,73.33,9118.83,Frac Tech II,10934162,5322042,3541280,2070840,228037,1233.02,1
Q1892FPD80,18813,69535,9264225500000000SWK0096H1,Karnes South - Drees Area,Karnes,"Drees A-179 7H, 8H & 9H",8824,350,Super Slickwater,3807,64.5,12,76.55,9729,Frac Tech I,6392340,458420,2966460,2967460,167515,628.62,8
Q1892G9C80,28848,112722,9264225500000000SWK0068H1,Karnes South - Linhart Area,Karnes,PDR Unit 5H & 6H,9746,525,Monster,3777,25,19,65.48,9672.24,Halliburton Frac Spot,10778960,8092000,2687080,0,309032,1433.76,5
Q1892GEC80,29578,117893,9264225500000000SWK0069H2,Karnes South - Linhart Area,Karnes,PDR Unit 5H & 6H,9894,775,Monster,3007,25.25,15,72.89,9542.55,Halliburton Frac Spot,8537220,6085740,2451480,0,180972,745.95,6
Q1892GOD80,39754,150031,9264225500000000SWK0121H1,Karnes South - Linhart Area,Karnes,"Roos Unit 2H, 3H & 6H",9528,450,Monster,6402,25.25,32,394.18,10206.22,Halliburton Frac Spot,17984940,13447860,4537080,0,418273.41,1507.14,2
Q1892GTD80,32669,138127,9264225500000000SWK0122H1,Karnes South - Linhart Area,Karnes,"Roos Unit 2H, 3H & 6H",9618,725,Super Slickwater,6432,65.25,20,607.28,10167.1,Halliburton Frac Spot,10881000,1147430,4535800,5197770,321485.98,914.29,3
Q1892HA103,11287,43721,9264225500000000SWK0098H1,Karnes South - KASManka Area,Karnes,"Armand Unit 4H, 5H & 6H",6096,425,Super Slickwater,4671,62.95,15,76.23,9041.6,Frac Tech I,8117798,535338,3792100,3790360,215429,771.19,4
Q1892HA104,18141,57460,9264225500000000SWK0099H1,Karnes South - KASManka Area,Karnes,"Armand Unit 4H, 5H & 6H",6076,400,Super Slickwater,4663,62.8,15,74.95,8762.27,Frac Tech I,8149860,569240,3789860,3790760,235313,766.69,5
Q1892HA105,13696,51439,9264225500000000SWK0100H1,Karnes South - KASManka Area,Karnes,"Armand Unit 4H, 5H & 6H",6042,700,Super Slickwater,4662,63,15,76.81,9104.53,Frac Tech I,8179940,569080,3792480,3818380,213239,749.17,6
Q1892HA112,23285,93903,9264225500000000SWK0144H1,Karnes South - Linhart Area,Karnes,"Dove East Unit 5H, 6H & 7H",9452,675,Super Slickwater,5014,63,16,76,10201,Halliburton Frac Spot,8600080,748440,3761700,4089940,263054,792,7
Q1892HA116,22487,99273,9264225500000000SWK0131H1,Karnes South - Drees Area,Karnes,"Drees A-179 13H, 14H & 15H",8954,375,Super Slickwater,4034,63,13,76,9600,Frac Tech I,6952526,493980,3203940,3254606,180044,664.62,13
Q1892HA117,24414,102077,9264225500000000SWK0132H1,Karnes South - Drees Area,Karnes,"Drees A-179 13H, 14H & 15H",8962,350,Super Slickwater,4094,64,13,77.65,9591.23,Frac Tech I,6974400,494240,3247780,3232380,183020,641.43,14
Q1892HA118,22187,87911,9264225500000000SWK0133H1,Karnes South - Drees Area,Karnes,"Drees A-179 13H, 14H & 15H",9090,425,Super Slickwater,4371,63,14,78.04,9560.93,Frac Tech I,6930330,498460,3202630,3229240,191324,639.93,15
Q1892HA121,15478,70449,9264225500000000SWK0129H2,Karnes South - Drees Area,Karnes,Drees A-179 18H & 19H,9052,350,Super Slickwater,3837,65,12,75.33,9138.17,Frac Tech II,6538220,456020,3063800,3018400,174264,617.45,18
Q1892HA122,28305,108977,9264225500000000SWK0130H1,Karnes South - Drees Area,Karnes,Drees A-179 18H & 19H,9046,650,Super Slickwater,3925,66.5,12,75.83,9542.5,Frac Tech II,6546220,456100,3024420,3065700,171652,624.21,19
Q1892HA123,16201,72667,9264225500000000SWK0128H1,Karnes South - Drees Area,Karnes,"Drees A-179 7H, 8H & 9H",8820,525,Super Slickwater,3866,65.5,12,77.32,9921.83,Frac Tech I,6403160,456880,2977320,2968960,162168,614.4,9
Q1892HA133,25675,112056,9264225500000000SWK0160H1,Karnes South - Linhart Area,Karnes,,9470,1000,Super Slickwater,5881,62.5,19,70.06,10397.26,Halliburton Frac Spot,10309330,888860,4480620,4939850,288570.63,847.98,6
Q189T21DMS,13304,31123,9264212700000000BRG0004H1,Briggs N,Catarina,Single Well,4739,1000,Slickwater,4826,71,17,77.7,8384,FracTech - 1/month,6114420,510000,3145000,1620000,214208.84,927.71,6
Q189T22DMS,9050,22038,9264212700000000BRG0022H1,Briggs N,Catarina,"Briggs 16H,17H,18H,19H",4867,600,Short Slickwater,5736,61,19,73.8,6609,C&J Frac,6925300,611900,3683440,2629960,166315,0,18
Q189T27DMS,7776,24556,9264212700000000BRG0023H1,Briggs N,Catarina,"Briggs 16H,17H,18H,19H",4859,800,Short Slickwater,5895,71,21,73.6,6772,C&J Frac,7686508,673980,4026188,2986340,182099,1098,19
Q189T28DPC,4794,9969,9264212700000000BRG0016H2,Briggs N,Catarina,"Briggs 12H,13H,14H,15H",4811,800,Short Slickwater,3098,72,11,75.5,6839,C&J Frac,4020860,348060,2106820,1565980,117423,696,12
Q189T2BDMS,2204,7717,9264212700000000BRG0008H1,Briggs N,Catarina,Single Well,4838,1000,Slickwater,4314,73,15,82.4,7332,Frac Tech II,5309260,437760,2812480,0,184846,754,8
Q189T2CDMS,5102,21300,9264212700000000BRG0001H1,Briggs S,Catarina,Single Well,4915,1000,Slickwater,3644,74,13,81,6900,FracTech - spot,4582592,455000,3941000,156000,217394.67,619.05,1
Q189T2DDPC,5075,15708,9264212700000000BRG0017H1,Briggs N,Catarina,"Briggs 12H,13H,14H,15H",4500,600,Short Slickwater,4841,70,13,76.3,7028,C&J Frac,5063660,499060,1730120,2872480,143258,870,13
Q189T2GD8G,4176,16013,9264212700000000BRG0010H1,Briggs N,Catarina,Single Well,4830,1000,Slickwater,4759,71,17,83.2,7393,Frac Tech II,5909080,533120,212438,0,212438,884,9
Q189T2IEPC,3799,19989,9264212700000000BRG0019H1,Briggs N,Catarina,"Briggs 12H,13H,14H,15H",4784,600,Short Slickwater,4475,71,16,72.7,6998,C&J Frac,544940,464980,2842900,2137060,144527,882,14
Q189T2MEMS,1440,6211,9264212700000000BRG0003H1,Briggs S,Catarina,Single Well,5049,1000,Slickwater,3996.5,77,15,69.6,7085,Superior - MS (daylights),4719029,450000,4091600,0,181073,805,3
Q189T2NEPC,6927,20040,9264212700000000BRG0018H2,Briggs N,Catarina,"Briggs 12H,13H,14H,15H",4782,800,Short Slickwater,4950,69,14,67.1,6341,C&J Frac,6155452,667283,2062461,3376842,158981,934,15
Q189T2SEMS,8433,22368,9264212700000000BRG0021H1,Briggs N,Catarina,"Briggs 16H,17H,18H,19H",4863,800,Short Slickwater,6242,60,21,72.3,6738,C&J Frac,7628680,661160,4019860,2947660,195475,1267,16
Q189T2XEMS,9686,28582,9264212700000000BRG0020H1,Briggs N,Catarina,"Briggs 16H,17H,18H,19H",4847,600,Short Slickwater,5895,71,21,73.3,6881,C&J Frac,7638590,650070,3994500,2994020,180543,1115,17
Q189T31D8G,7856,31286,9264212700000000BRG0032H1,Briggs N,Catarina,"Briggs Unit D 1H,2H,3H,4H",4860,625,Short Slickwater,7002,70,21,75.5,7320,Frac Tech I,9361410,799320,5672560,2889530,206310,1181,3
Q189T32D8G,9247,33614,9264212700000000BRG0039H1,Briggs N,Catarina,"Briggs 27H,Briggs Unit F1H",4680,850,Short Slickwater,6770,72,19,70.62,7371.42,Frac Tech II,8075140,723840,5008600,2342700,211166,1017.9,27
Q189T36D8G,4810,12628,9264212700000000BRG0033H1,Briggs N,Catarina,"Briggs Unit D 1H,2H,3H,4H",4849,825,Short Slickwater,7002,69,21,73.1,7239,Frac Tech I,6682509,798300,5673360,210849,210849,1132,4
Q189T37D8G,2515,10046,9264212700000000BRG0015H1,Briggs N,Catarina,Single Well,4930,700,Short Slickwater,5784,73,17,80.6,7328,Frac Tech I,5916070,530120,3164210,2221740,170154,975,1
